number,Nanoparticle,Coat,Diameter,Concentration,Zeta_potential,Cells,Human_Animal_cells,Cell_Source,Cell_morphology,tissue_source,Exposure_time,Test,Test_indicator,Biochemical_metric,Interference_checked,Colloidal_stability_checked,Positive_control,χ,∑x,No/∑x,NMetal,MW,Noxygen,q,Cell_viability
155,25,0,30,1280,-0.404,2,1,1,1,2,48,8,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,72.2547
156,25,0,30,80,-0.404,2,1,1,1,2,48,2,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,90.3954
157,25,0,30,160,-0.404,2,1,1,1,2,48,2,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,97.1579
158,25,0,30,320,-0.404,2,1,1,1,2,48,2,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,121.1975
159,25,0,30,640,-0.404,2,1,1,1,2,48,2,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,98.4458
160,25,0,30,1280,-0.404,2,1,1,1,2,48,2,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,56.2847
161,26,0,50,0.3,-2.24,8,1,1,1,7,24,8,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,105.2311
162,26,0,50,3,-2.24,8,1,1,1,7,24,8,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,88.9086
163,26,0,50,30,-2.24,8,1,1,1,7,24,8,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,82.0256
164,26,0,50,300,-2.24,8,1,1,1,7,24,8,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,90.265
165,26,0,50,3000,-2.24,8,1,1,1,7,24,8,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,68.3382
166,26,0,50,0.3,-2.24,8,1,1,1,7,24,2,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,110.1982
167,26,0,50,3,-2.24,8,1,1,1,7,24,2,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,114.6419
168,26,0,50,30,-2.24,8,1,1,1,7,24,2,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,95.9079
169,26,0,50,300,-2.24,8,1,1,1,7,24,2,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,104.4118
170,26,0,50,3000,-2.24,8,1,1,1,7,24,2,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,91.5921
171,26,0,50,0.3,-2.24,8,1,1,1,7,48,8,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,160.7406
172,26,0,50,3,-2.24,8,1,1,1,7,48,8,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,191.7372
173,26,0,50,30,-2.24,8,1,1,1,7,48,8,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,178.409
174,26,0,50,300,-2.24,8,1,1,1,7,48,8,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,152.7634
175,26,0,50,3000,-2.24,8,1,1,1,7,48,8,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,121.7668
176,26,0,50,0.3,-2.24,8,1,1,1,7,48,2,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,100.7416
177,26,0,50,3,-2.24,8,1,1,1,7,48,2,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,90.0742
178,26,0,50,30,-2.24,8,1,1,1,7,48,2,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,104.2499
179,26,0,50,300,-2.24,8,1,1,1,7,48,2,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,100.8272
180,26,0,50,3000,-2.24,8,1,1,1,7,48,2,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,80.9755
181,26,0,50,0.3,-2.24,2,1,1,1,2,24,8,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,101.8211
182,26,0,50,3,-2.24,2,1,1,1,2,24,8,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,114.0082
183,26,0,50,30,-2.24,2,1,1,1,2,24,8,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,97.6746
184,26,0,50,300,-2.24,2,1,1,1,2,24,8,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,99.5611
185,26,0,50,3000,-2.24,2,1,1,1,2,24,8,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,76.0086
186,26,0,50,0.3,-2.24,2,1,1,1,2,24,2,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,108.8506
187,26,0,50,3,-2.24,2,1,1,1,2,24,2,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,108.9941
188,26,0,50,30,-2.24,2,1,1,1,2,24,2,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,100.1434
189,26,0,50,300,-2.24,2,1,1,1,2,24,2,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,114.4028
190,26,0,50,3000,-2.24,2,1,1,1,2,24,2,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,82.5241
191,26,0,50,0.3,-2.24,2,1,1,1,2,48,8,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,101.7566
192,26,0,50,3,-2.24,2,1,1,1,2,48,8,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,106.7675
193,26,0,50,30,-2.24,2,1,1,1,2,48,8,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,97.3448
194,26,0,50,300,-2.24,2,1,1,1,2,48,8,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,96.5781
195,26,0,50,3000,-2.24,2,1,1,1,2,48,8,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,67.6144
